date,open,high,low,close
2019-12-04,141.212,142.763,140.82,141.2
2019-12-05,142.679,143.247,142.61,142.666
2019-12-06,143.082,143.13,142.39,143.074
2019-12-09,142.75,143.079,142.56,142.717
2019-12-10,142.749,143.27,142.637,142.704
2019-12-11,142.826,143.311,142.57,142.806
2019-12-12,143.276,143.6366,142.496,143.272
2019-12-13,147.432,147.932,145.467,147.419
2019-12-16,146.066,146.733,145.847,146.071
2019-12-17,145.386,145.713,143.508,145.423
2019-12-18,143.699,143.699,143.086,143.688
2019-12-19,143.317,143.821,142.036,143.3516
2019-12-20,142.381,143.025,142.18,142.36
2019-12-23,142.386,142.501,141.165,142.381
2019-12-24,141.541,141.783,141.329,141.5381
2019-12-25,141.41,142.42,140.635,141.4
2019-12-26,141.849,142.686,141.834,141.859
2019-12-27,142.416,143.655,142.023,142.463
2019-12-30,143.255,143.414,142.768,143.248
2019-12-31,142.758,144.334,142.428,142.764
2020-01-01,144.6678,145.3072,144.01,144.42
2020-01-02,144.029,144.169,142.276,144.048
2020-01-03,142.649,142.737,141.023,142.708
2020-01-06,141.261,142.729,141.12,141.201
2020-01-07,142.777,143.273,142.034,142.773
2020-01-08,141.56,142.947,141.135,141.639
2020-01-09,142.906,143.448,142.42,142.875
2020-01-10,143.102,143.488,142.87,143.11
2020-01-13,142.851,142.962,142.381,142.912
2020-01-14,142.853,143.247,142.45,142.847
2020-01-15,143.065,143.344,142.69,143.046
2020-01-16,143.272,144.107,143.27,143.287
2020-01-17,144.055,144.472,143.36,144.057
2020-01-20,143.309,143.342,142.814,143.31
2020-01-21,143.267,143.966,142.861,143.262
2020-01-22,143.41,144.568,143.339,143.3861
2020-01-23,144.231,144.287,143.211,144.215
2020-01-24,143.735,144.215,142.823,143.715
2020-01-27,142.115,142.734,142.115,142.103
2020-01-28,142.244,142.435,141.495,142.239
2020-01-29,142.121,142.2055,141.707,142.129
2020-01-30,141.922,142.678,141.264,141.911
2020-01-31,142.505,143.28,142.505,142.461
2020-02-03,142.837,143.097,141.132,142.8427
2020-02-04,141.14,142.542,140.97,141.152
2020-02-05,142.6143,143.333,142.24,142.61
2020-02-06,142.711,142.803,142.08,142.69
2020-02-07,142.157,142.355,141.615,142.1633
2020-02-10,141.2908,142.074,141.27,141.328
2020-02-11,141.7402,142.442,141.68,141.76
2020-02-12,142.28,142.876,142.227,142.305
2020-02-13,142.348,143.465,142.14,142.318
2020-02-14,143.205,143.394,142.778,143.16
2020-02-17,143.248,143.332,142.874,143.289
2020-02-18,142.8,143.215,142.332,142.83
2020-02-19,142.89,143.946,142.81,142.887
2020-02-20,143.734,144.575,143.612,143.74
2020-02-21,144.219,144.938,143.763,144.215
2020-02-24,144.478,144.6,142.812,144.494
2020-02-25,143.287,143.61,143.047,143.284
2020-02-26,143.375,143.699,142.591,143.394
2020-02-27,142.427,142.534,141.382,142.43
2020-02-28,141.319,141.328,137.602,141.328
2020-03-02,137.965,139.153,137.165,137.911
2020-03-03,138.433,138.466,137.21,138.493
2020-03-04,137.259,137.975,137.242,137.22
2020-03-05,138.559,138.559,137.781,138.601
2020-03-06,137.595,137.729,136.447,137.583
2020-03-09,136.15,136.293,132.682,136.118
2020-03-10,134.775,137.162,134.096,134.789
2020-03-11,135.586,136.52,134.337,135.565
2020-03-12,134.099,134.21,131.354,133.992
2020-03-13,131.588,134.293,131.236,131.4619
2020-03-16,132.136,132.494,128.893,132.254
2020-03-17,130.333,131.112,128.653,130.206
2020-03-18,130.032,130.266,127.067,130.13
2020-03-19,125.865,129.5,124.93,125.962
2020-03-20,127.881,131.949,127.506,127.863
2020-03-23,128.07,129.074,127.412,128.35
2020-03-24,128.531,131.386,128.019,128.463
2020-03-25,130.995,133.358,129.916,131.004
2020-03-26,131.279,132.866,130.627,131.365
2020-03-27,133.047,133.68,132.125,133.064
2020-03-29,133.768,134.372,132.751,133.726
2020-03-30,133.583,134.539,133.232,133.636
2020-03-31,133.321,133.547,132.615,133.353
2020-04-01,132.797,133.8352,132.564,132.788
2020-04-02,133.859,133.911,132.55,133.831
2020-04-05,132.775,134.482,132.775,132.778
2020-04-06,133.408,134.939,133.11,133.528
2020-04-07,134.015,134.996,133.725,134.037
2020-04-08,134.914,135.724,134.646,134.935
2020-04-09,135.17,135.386,134.98,135.13
2020-04-12,134.98,135.117,134.498,134.97
2020-04-13,134.74,135.393,134.569,134.762
2020-04-14,135.171,135.254,133.666,135.212
2020-04-15,134.717,134.845,133.719,134.718
2020-04-16,134.76,134.828,133.885,134.77
2020-04-19,134.462,134.691,133.86,134.429
2020-04-20,133.944,134.023,131.959,133.943
2020-04-21,132.51,133.278,132.048,132.472
2020-04-22,132.83,133.648,132.401,132.841
2020-04-23,132.964,133.103,132.38,132.966
2020-04-26,132.952,133.523,132.909,132.9258
2020-04-27,133.254,133.537,132.829,133.258
2020-04-28,132.716,132.993,131.94,132.733
2020-04-29,132.9,135.062,132.67,132.944
2020-04-30,134.982,135.04,133.448,134.949
2020-05-03,132.963,133.149,132.518,132.915
2020-05-04,132.782,133.098,132.544,132.763
2020-05-05,132.439,132.439,130.846,132.45
2020-05-06,130.906,131.967,130.77,130.849
2020-05-07,131.609,132.654,131.54,131.616
2020-05-10,132.723,133.168,131.884,132.73
2020-05-11,132.667,132.851,131.945,132.631
2020-05-12,131.303,131.905,130.661,131.273
2020-05-13,130.832,130.861,130.14,130.881
2020-05-14,131.325,131.404,129.986,131.32
2020-05-17,129.581,131.24,129.534,129.553
2020-05-18,130.98,132.368,130.778,130.97
2020-05-19,132.152,132.408,131.56,132.114
2020-05-20,131.611,131.934,131.213,131.63
2020-05-21,131.578,131.76,130.671,131.543
2020-05-24,131.284,131.402,130.998,131.27
2020-05-25,131.374,133.024,131.37,131.378
2020-05-26,132.556,132.935,131.667,132.551
2020-05-27,132.182,132.727,131.842,132.198
2020-05-28,132.572,133.412,131.809,132.614
2020-05-31,132.961,134.255,132.936,132.95
2020-06-01,134.295,136.493,134.281,134.28
2020-06-02,136.865,137.35,136.267,136.85
2020-06-03,137.012,137.625,135.952,137.04
2020-06-04,137.507,139.688,137.276,137.608
2020-06-07,139.309,139.357,137.601,139.49
2020-06-08,137.978,138.147,136.238,138.048
2020-06-09,137.035,137.383,136.63,137.001
2020-06-10,136.046,136.4,134.674,135.959
2020-06-11,134.312,136.026,133.788,134.29
2020-06-14,134.249,135.042,133.494,134.22
2020-06-15,135.797,136.32,134.825,135.77
2020-06-16,135.109,135.122,134.093,135.145
2020-06-17,134.11,134.318,132.467,134.162
2020-06-18,132.92,133.183,132.11,132.94
2020-06-21,131.853,133.082,131.78,131.899
2020-06-22,133.584,133.957,132.616,133.624
2020-06-23,133.294,133.597,132.697,133.288
2020-06-24,132.861,133.58,132.809,132.854
2020-06-25,133.112,133.242,132.048,133.1
2020-06-28,132.307,132.66,131.957,132.317
2020-06-29,132.455,133.554,132.046,132.431
2020-06-30,133.756,134.117,132.955,133.7855
2020-07-01,133.835,134.676,133.791,133.819
2020-07-02,134.014,134.185,133.696,133.991
2020-07-05,134.218,134.655,134.149,134.197
2020-07-06,134.121,135.376,134.09,134.135
2020-07-07,134.857,135.399,134.589,134.912
2020-07-08,135.26,135.913,135.184,135.29
2020-07-09,135.17,135.186,134.301,135.13
2020-07-12,134.984,135.469,134.802,134.988
2020-07-13,134.631,134.742,133.989,134.638
2020-07-14,134.806,135.076,134.468,134.784
2020-07-15,134.552,135.149,134.059,134.59
2020-07-16,134.741,134.89,134.1,134.719
2020-07-19,134.583,135.7,134.34,134.612
2020-07-20,135.707,136.421,135.707,135.71
2020-07-21,136.023,136.483,135.296,135.99
2020-07-22,136.417,136.61,135.842,136.415
2020-07-23,135.993,136.023,134.97,136.003
2020-07-26,135.591,135.808,135.154,135.607
2020-07-27,135.694,135.998,135.33,135.64
2020-07-28,135.862,136.443,135.67,135.828
2020-07-29,136.325,137.34,136.084,136.351
2020-07-30,137.278,139.183,136.789,137.3
2020-08-02,138.651,138.98,137.761,138.686
2020-08-03,138.674,138.855,137.81,138.64
2020-08-04,138.181,138.987,138.03,138.192
2020-08-05,138.539,139.206,138.43,138.541
2020-08-06,138.631,138.738,137.86,138.699
2020-08-09,138.15,138.619,138.097,138.146
2020-08-10,138.59,139.484,138.59,138.57
2020-08-11,138.949,139.604,138.892,139.002
2020-08-12,139.351,140.193,139.28,139.33
2020-08-13,139.784,139.989,139.345,139.823
2020-08-16,139.63,139.663,138.79,139.637
2020-08-17,138.912,139.497,138.59,138.923
2020-08-18,139.436,139.941,138.884,139.456
2020-08-19,139.043,139.584,138.57,139.03
2020-08-20,139.696,139.921,138.293,139.678
2020-08-23,138.643,138.989,138.298,138.62
2020-08-24,138.522,140.008,138.449,138.533
2020-08-25,139.922,140.285,139.61,139.89
2020-08-26,139.936,140.769,139.719,139.905
2020-08-27,140.762,141.589,140.023,140.705
2020-08-30,140.913,142.01,140.512,140.938
2020-08-31,141.643,142.697,141.32,141.659
2020-09-01,141.844,141.953,141.027,141.881
2020-09-02,141.73,141.7538,140.501,141.78
2020-09-03,140.737,141.417,140.134,140.671
2020-09-06,140.8,140.9731,139.605,140.803
2020-09-07,139.891,139.893,137.888,139.896
2020-09-08,137.393,138.291,136.746,137.401
2020-09-09,138.08,138.31,136.37,138.075
2020-09-10,135.946,136.519,135.579,135.934
2020-09-13,135.933,136.561,135.77,135.924
2020-09-14,135.8,136.412,135.444,135.828
2020-09-15,135.743,136.454,135.55,135.774
2020-09-16,136.139,136.139,134.583,136.143
2020-09-17,135.912,136.152,135.03,135.82
2020-09-20,135.196,135.319,133.55,135.178
2020-09-21,134.199,134.355,133.103,134.195
2020-09-22,133.881,134.5,133.149,133.838
2020-09-23,133.941,134.6,133.628,133.907
2020-09-24,134.456,134.81,133.852,134.457
2020-09-27,134.753,136.142,134.366,134.749
